,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
United Nations,,,,,,,,,,,,,,,,,,,,,,,,
Population Division,,,,,,,,,,,,,,,,,,,,,,,,
Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
World Urbanization Prospects: The 2014 Revision,,,,,,,,,,,,,,,,,,,,,,,,
"File 3: Urban Population at Mid-Year by Major Area, Region and Country, 1950-2050 (thousands)",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
POP/DB/WUP/Rev.2014/1/F03,,,,,,,,,,,,,,,,,,,,,,,,
June 2014 - Copyright © 2014 by United Nations. All rights reserved,,,,,,,,,,,,,,,,,,,,,,,,
"Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2014). World Urbanization Prospects: The 2014 Revision, CD-ROM Edition.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Urban Population at Mid-Year, 1950-2050 (thousands)",,,,,,,,,,,,,,,,,,,,
Index,"Major area, region, country or area",Note,Country Code,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
18,Eritrea,,232,81.032,104.727,136.978,180.373,226.293,276.708,346.841,431.25,517.065,563.531,691.565,916.862,1181.091,1525.188,1931.442,2403.985,2952.896,3592.633,4326.619,5144.495,6029.385
19,Ethiopia,,231,833.89,1085.994,1425.092,1897.833,2440.175,3081,3668.755,4670.398,6063.524,7884.886,9731.656,11958.476,15083.947,19265.898,24296.384,30190.302,36906.745,44368.056,52431.2,61169.434,70521.943
20,Kenya,,404,339.667,448.051,596.757,817.908,1158.462,1741.678,2535.089,3161.146,3926.795,5007.379,6223.277,7756.542,9642.731,11978.118,14737.72,17973.485,21766.907,26148.088,31090.842,36595.049,42636.284
21,Madagascar,,450,318.517,414.442,542.656,714.2,927.258,1237.438,1620.232,2089.369,2720.827,3470.229,4270.206,5270.193,6730.425,8507.728,10638.96,13130.914,15954.921,19058.644,22504.151,26324.754,30518.446
22,Malawi,,454,100.995,124.251,154.745,195.03,274.169,405.5,564.445,738.289,1092.098,1321.57,1654.062,1945.675,2333.108,2816.437,3443.219,4254.811,5304.703,6643.118,8265.092,10187.238,12437.166
23,Mauritius,1,480,144.658,176.457,218.978,278.708,347.369,387.598,409.129,429.922,463.525,488.539,505.704,504.762,499.391,497.305,499.142,505.476,515.613,528.984,544.788,558.453,569.982
24,Mayotte,,175,1.29,2.256,3.923,6.725,9.295,12.528,16.585,23.415,33.33,50.576,71.065,87.902,100.04,109.924,120.481,133.388,149.403,168.565,190.713,213.869,237.092
25,Mozambique,,508,223.887,283.992,364.714,489.058,659.771,1015.637,1594.347,2444.492,3391.99,4394.146,5317.899,6302.999,7419.106,8737.013,10334.937,12336.351,14824.621,17825.64,21265.073,25129.353,29439.558
26,Réunion,,638,58.29,81.45,110.235,149.093,192.488,215.528,272.353,379.444,495.959,580.045,661.551,730.774,793.831,850.337,899.767,942.855,981.238,1015.546,1045.227,1069.79,1088.943
27,Rwanda,,646,46.208,59.211,76.269,93.184,119.936,174.26,242.685,309.117,390.755,557.17,1253.128,1818.154,2595.611,3580.619,4735.575,6023.932,7383.216,8743.489,10186,11730.421,13349.373
28,Seychelles,,690,9.952,10.668,11.45,15.42,20.379,27.415,32.423,34.002,34.221,37.355,39.983,44.466,47.719,50.521,53.175,55.592,57.819,59.906,61.836,63.49,64.765
29,Somalia,,706,288.122,370.574,477.188,612.817,781.361,989.571,1629.818,1703.241,1874.89,1994.354,2455.437,2976.661,3590.301,4399.113,5386.075,6576.481,7976.628,9586.626,11405.645,13431.748,15663.775
30,South Sudan,,728,228.973,239.609,258.515,283.638,314.856,353.139,400.571,536.168,765.262,862.561,1097.983,1379.086,1774.956,2285.171,2778.788,3370.908,4083.214,4950.233,5959.686,7110.251,8402.924
31,Uganda,,800,145.449,208.359,299.817,441.546,629.438,762.272,945.478,1341.766,1942.129,2419.036,2932.916,3743.23,4925.438,6463.32,8423.333,10889.248,13951.972,17680.154,22116.139,27334.913,33366.741
32,United Republic of Tanzania,2,834,267.063,385.389,528.497,704.433,1068.282,1780.977,2719.772,3663.636,4812.601,6151.584,7589.582,9645.896,12643.617,16528.155,21218.262,26761.148,33256.672,40705.95,48986.118,58243.961,68568.706
33,Zambia,,894,272.83,389.925,559.347,836.894,1272.057,1734.021,2328.094,2711.783,3091.273,3280.511,3515.393,4199.454,5118.243,6351.003,7894.836,9774.157,12035.445,14726,17882.766,21552.043,25759.289
34,Zimbabwe,,716,292.368,371.305,473.112,646.51,903.912,1226.241,1630.617,2251.798,3032.7,3693.381,4220.985,4335.602,4341.045,4871.253,5504.366,6114.541,6850.569,7764.099,8893.526,10153.125,11479.232
35,Middle Africa,,911,3660.291,4521.056,5650.75,7047.201,8920.837,11495.004,14464.65,18043.007,22566.053,28524.545,34515.061,42363.343,51883.273,63060.945,76069.788,90975.784,107746.675,126304.834,146604.039,168586.647,192107.766
36,Angola,,24,314.201,404.427,518.18,679.453,886.653,1145.341,1509.546,2042.999,2643.556,3495.882,4514.325,5983.982,7838.629,10052.272,12653.815,15605.241,18908.99,22484.567,26267.473,30336.163,34675.848
37,Cameroon,,120,416.873,557.284,747.195,1010.735,1374.506,2112.438,2851.265,3761.265,4786.78,5930.199,7253.723,8804.182,10624.752,12721.469,15077.727,17670.436,20491.607,23530.592,26817.759,30322.565,34002.758
38,Central African Republic,,140,191.278,238.918,302.204,387.789,502.752,644.98,770.321,932.001,1072.643,1219.568,1369.414,1507.74,1689.008,1923.002,2204.122,2537.907,2925.062,3355.245,3819.087,4313.345,4831.038
39,Chad,,148,112.604,150.339,201.019,278.32,421.639,636.484,847.794,1007.127,1238.607,1498.876,1796.093,2183.279,2576.573,3057.354,3678.192,4497.529,5546.708,6876.406,8476.943,10328.869,12441.856
40,Congo,,178,201.332,252.955,320.299,408.43,522.412,672.275,859.703,1085.624,1294.702,1534.779,1834.925,2160.722,2599.748,3053.98,3551.854,4140.34,4804.19,5544.656,6357.72,7233.833,8168.347
41,Democratic Republic of the Congo,,180,2327.079,2791.905,3400.359,4070.466,4924.015,5913.521,7135.507,8565.179,10694.055,13796.035,16489.579,20248.43,24837.538,30275.467,36658.763,44000.165,52250.509,61382.35,71408.626,82262.518,93864.046
42,Equatorial Guinea,,226,34.874,48.379,64.382,71.404,78.41,65.302,61.482,93.645,129.893,171.581,201.083,234.555,273.06,319.131,372.403,432.956,501.057,574.782,653.83,737.936,826.652
43,Gabon,,266,53.956,68.188,86.784,126.457,188.533,278.527,397.24,515.455,654.576,814.221,981.431,1150.761,1333.63,1526.275,1719.342,1916.246,2121.631,2335.703,2557.541,2782.019,3004.082
44,Sao Tome and Principe,,678,8.094,8.661,10.328,14.147,21.917,26.136,31.792,39.712,51.241,63.404,74.488,89.692,110.335,131.995,153.57,174.964,196.921,220.533,245.06,269.399,293.139
45,Northern Africa,,912,12806.534,16084.843,20339.28,25556.409,31284.483,37499.311,44687.128,53822.766,63952.458,73732.034,81901.012,90705.509,100776.239,112068.513,124073.674,136283.788,148692.455,161582.77,174967.351,188464.177,201744.035
46,Algeria,,12,1970.81,2593.228,3440.879,4807.377,5802.827,6788.94,8479.849,10959.445,13666.998,16415.906,19005.851,21677.18,25027.022,28738.799,32176.23,35145.275,37569.253,39560.981,41396.189,43170.296,44786.57
47,Egypt,,818,6869.029,8495.623,10600.966,12732.784,15073.608,17471.66,19706.161,22121.201,24493.933,26188.469,28304.15,30883.8,33587.708,36537.834,39869.482,43609.708,47863.592,52747.355,58122.876,63549.623,68863.54
48,Libya,,434,217.638,284.963,390.294,576.245,1030.99,1589.712,2157.657,2820.945,3225.662,3607.903,3951.824,4302.128,4690.054,4962.312,5387.304,5768.972,6103.346,6406.883,6689.452,6944.658,7155.06
49,Morocco,,504,2352.9,2913.418,3619.335,4490.092,5487.485,6669.84,8159.039,9975.646,11940.483,13870.621,15312.537,16606.903,18252.53,20439.199,22496.502,24472.884,26257.882,27856.239,29276.961,30567.707,31720.658
50,Sudan,,729,391.264,561.607,808.934,1168.589,1690.716,2287.491,2877.639,3921.632,5724.505,7906.344,9010.852,10347.426,11793.687,13391.448,15575.156,18220.092,21392.713,25119.558,29237.628,33668.595,38387.533
51,Tunisia,,788,1000.626,1229.428,1468.655,1762.879,2166.499,2646.264,3189.934,3870.33,4714.067,5522.032,6059.507,6543.194,7009.981,7509.909,8004.648,8463.86,8868.96,9226.38,9555.323,9855.47,10108.45
52,Western Sahara,,732,4.267,6.576,10.217,18.443,32.358,45.404,116.849,153.567,186.81,220.759,256.291,344.878,415.257,489.012,564.352,602.997,636.709,665.374,688.922,707.828,722.224
53,Southern Africa,,913,5872.952,6953.551,8277.523,9606.145,11118.655,12872.224,14756.325,17230.454,20538.757,24359.844,27666.121,31164.785,34780.443,37813.255,40609.45,43318.068,45910.56,48432.22,50847.79,53189.902,55422.011
54,Botswana,,72,11.205,13.544,16.041,22.874,54.305,97.783,164.387,316.593,580.317,775.584,934.19,1033.071,1107.467,1181.265,1265.606,1357.482,1460.946,1573.855,1694.087,1818.09,1942.08
55,Lesotho,,426,12.844,16.145,29.9,59.411,88.853,124.35,149.696,172.505,223.122,297.361,362.85,428.477,497.262,579.044,667.608,762.031,861.265,965.449,1074.646,1192.048,1316.091
