city,state_name,lat,lng,population,density
Glendale,Arizona,33.5791,-112.2311,250193,1436.5
Nashua,New Hampshire,42.7491,-71.491,247828,1141.1
York,Pennsylvania,39.9651,-76.7315,246769,3270.5
Garland,Texas,32.91,-96.6304,245298,1665.8
Rock Hill,South Carolina,34.9415,-81.0241,244403,648.9
Scottsdale,Arizona,33.6872,-111.8651,242169,508.2
Aguadilla,Puerto Rico,18.4382,-67.1537,235546,1701.8
Arlington,Virginia,38.8786,-77.1011,235463,3497
Norfolk,Virginia,36.8945,-76.259,235037,1703.4
Appleton,Wisconsin,44.278,-88.3892,234701,1137.1
Enterprise,Nevada,36.0091,-115.2278,232043,1357.5
Gulfport,Mississippi,30.4274,-89.0704,231754,503.5
Lafayette,Louisiana,30.2082,-92.0325,231548,835.2
Bremerton,Washington,47.5436,-122.7121,228576,604.8
Fremont,California,37.5265,-121.9843,228518,1129.7
Green Bay,Wisconsin,44.5148,-87.9895,227679,904.9
Fargo,North Dakota,46.8651,-96.8292,225066,967.9
Deltona,Florida,28.905,-81.2137,224303,989.8
Brownsville,Texas,25.9975,-97.458,223416,544.2
Hialeah,Florida,25.8696,-80.3045,221901,3967.9
San Bernardino,California,34.1416,-117.2943,221774,1378.6
Tacoma,Washington,47.2431,-122.4531,220482,1712.1
Gainesville,Florida,29.6804,-82.3459,219946,866.2
Spring Valley,Nevada,36.0952,-115.2636,219913,2391.4
Clarksville,Tennessee,36.5692,-87.3413,218159,663.2
College Station,Texas,30.5852,-96.2959,215768,922.8
Olympia,Washington,47.0417,-122.8959,215677,1177.8
Roanoke,Virginia,37.2785,-79.9581,214019,896
Portland,Maine,43.6773,-70.2715,213660,1228
Fontana,California,34.0968,-117.4599,211921,1890.3
Spartanburg,South Carolina,34.9442,-81.9251,210388,735.4
Moreno Valley,California,33.9244,-117.2045,210378,1583.1
Frisco,Texas,33.156,-96.8216,210238,1183.5
Yonkers,New York,40.9466,-73.8673,209529,4493
Thousand Oaks,California,34.1914,-118.8756,208302,878.1
Sioux Falls,South Dakota,43.5396,-96.7311,207795,913
