city,state_name,lat,lng,population,density
Hampton,Virginia,37.0551,-76.363,137334,1030.4
Pasadena,California,34.1597,-118.139,136462,2294.8
Miramar,Florida,25.9773,-80.3351,135986,1819.7
Elizabeth,New Jersey,40.6658,-74.1913,135887,4259.1
Stamford,Connecticut,41.1039,-73.5585,135806,1393.5
Racine,Wisconsin,42.7274,-87.8135,135512,1925.4
Kent,Washington,47.3887,-122.2128,135015,1540.8
Yakima,Washington,46.5923,-120.5496,134003,1330.9
Coral Springs,Florida,26.2702,-80.2591,133962,2262.2
Sterling Heights,Michigan,42.5809,-83.0305,133473,1413.9
Billings,Montana,45.7891,-108.5526,133173,991.9
Bloomington,Illinois,40.4757,-88.9703,133107,1120.8
Charleston,West Virginia,38.3484,-81.6322,133045,589.3
Carrollton,Texas,32.989,-96.8999,132741,1398.2
Tyler,Texas,32.3184,-95.3062,131037,719.7
Iowa City,Iowa,41.6559,-91.5303,129897,1127.9
Johnson City,Tennessee,36.3406,-82.3806,129818,630.6
Santa Clara,California,37.3646,-121.968,129239,2730.2
Bellingham,Washington,48.7548,-122.469,128737,1264.7
Norman,Oklahoma,35.2335,-97.3471,128714,278.2
Coeur d'Alene,Idaho,47.704,-116.7936,128680,1271.6
Fort Smith,Arkansas,35.3495,-94.3695,128384,538.3
Lewisville,Texas,33.0454,-96.9815,128313,1218.5
Dover,Delaware,39.161,-75.5202,128045,640.2
Yuba City,California,39.1357,-121.6383,127854,1620.5
Lehigh Acres,Florida,26.612,-81.6388,127391,530.6
Abilene,Texas,32.4543,-99.7384,127130,460.2
Simi Valley,California,34.2663,-118.749,126503,1168.8
Pearland,Texas,29.5581,-95.3218,125983,998.1
Kenosha,Wisconsin,42.5865,-87.8773,125807,1317
Arecibo,Puerto Rico,18.4491,-66.7387,125548,1001.6
Meridian,Idaho,43.6116,-116.3977,124865,1298.5
Round Rock,Texas,30.527,-97.6642,124288,1258.3
Waldorf,Maryland,38.6085,-76.9194,124186,879.5
Temple,Texas,31.1068,-97.3891,123932,456.5
Lynchburg,Virginia,37.4003,-79.1909,123662,625.6
Rochester,Minnesota,44.0154,-92.478,123252,828.8
Logan,Utah,41.7399,-111.8422,122915,1151.4
Arvada,Colorado,39.832,-105.151,122835,1216.4
Clovis,California,36.8278,-119.683,122719,1804.6
Independence,Missouri,39.0871,-94.3501,121944,603.7
Redding,California,40.5698,-122.365,120849,605.5
Greenville,North Carolina,35.5943,-77.376,120595,891.7
Duluth,Minnesota,46.7756,-92.1393,120443,468
Berkeley,California,37.8722,-122.276,120223,4449.7
Boulder,Colorado,40.0248,-105.2524,120121,1526.6
Pueblo,Colorado,38.2701,-104.6114,120020,760.5
West Palm Beach,Florida,26.7469,-80.132,119508,856.5
Burlington,Vermont,44.4876,-73.2316,118409,1673.2
Seaside,California,36.6224,-121.8199,118398,1383
Richardson,Texas,32.9716,-96.7093,118269,1598.8
Cambridge,Massachusetts,42.3759,-71.1185,117794,7109.8
Monroe,Louisiana,32.5185,-92.0774,117507,613.5
North Charleston,South Carolina,32.9067,-80.0722,117460,581.7
Saginaw,Michigan,43.4199,-83.9501,117412,991
Clearwater,Florida,27.979,-82.7623,117075,1726.6
The Woodlands,Texas,30.1738,-95.5134,116916,1043.1
Brandon,Florida,27.9367,-82.3,116365,1356
St. Cloud,Minnesota,45.534,-94.1718,116347,671.3
West Jordan,Utah,40.6024,-112.0008,116277,1377.7
Broken Arrow,Oklahoma,36.038,-95.7806,115919,710.9
Harlingen,Texas,26.1916,-97.6977,115767,687.2
Kailua,Hawaii,21.392,-157.7396,115634,1975.3
Westminster,Colorado,39.8837,-105.0624,115546,1410.9
Gilroy,California,37.0046,-121.5854,115448,1367.4
Richmond,California,37.9477,-122.3389,115396,1483.1
Mandeville,Louisiana,30.3751,-90.0904,115292,539.4
Utica,New York,43.0962,-75.2261,114961,1487.9
Ponce,Puerto Rico,18.0127,-66.6212,114940,1494.8
League City,Texas,29.4874,-95.1087,114885,863.7
Port Arthur,Texas,29.8554,-93.9264,114860,285.1
Lowell,Massachusetts,42.6389,-71.3217,114799,3256.6
East Los Angeles,California,34.0326,-118.1691,114617,5937.6
Carlsbad,California,33.1246,-117.2834,114500,1169.2
Elgin,Illinois,42.0383,-88.324,114106,1154.1
Waterloo,Iowa,42.4918,-92.3522,113832,419.6
Leominster,Massachusetts,42.5209,-71.7717,113462,585.4
Bend,Oregon,44.0563,-121.3095,113454,1114.1
Sioux City,Iowa,42.4959,-96.3901,112823,559.1
Gresham,Oregon,45.5021,-122.4413,112818,1848.5
Longview,Texas,32.5193,-94.7622,112687,568.3
Pompano Beach,Florida,26.2428,-80.1312,112212,1800.3
Downey,California,33.9379,-118.1311,111793,3478.3
Murrieta,California,33.5719,-117.1909,111621,1217.5
Idaho Falls,Idaho,43.4871,-112.0362,111295,948.1
Miami Gardens,Florida,25.9433,-80.2426,111264,2324.7
Everett,Washington,47.9525,-122.1669,111083,1276.4
Holland,Michigan,42.7677,-86.0984,110905,781.7
Costa Mesa,California,33.6667,-117.9135,110538,2700.2
Temecula,California,33.4928,-117.1315,110404,1146.6
Jacksonville,North Carolina,34.7289,-77.3941,109958,581.6
San Buenaventura,California,34.2741,-119.2314,109900,1939.9
Sugar Land,Texas,29.5935,-95.6358,109735,1047
Chico,California,39.7578,-121.8161,109411,1146.2
South Fulton,Georgia,33.6273,-84.58,109157,454
Sparks,Nevada,39.5736,-119.7161,109106,1154.3
Eau Claire,Wisconsin,44.8197,-91.4948,108477,779.1
Auburn,Alabama,32.6087,-85.4903,108327,482.9
Dearborn,Michigan,42.3127,-83.213,107846,1717.3
Riverview,Florida,27.8227,-82.3023,107776,901.1
Allen,Texas,33.1088,-96.6735,107684,1574.8
West Covina,California,34.0555,-117.9113,107436,2586.7
Centennial,Colorado,39.5926,-104.8673,107386,1374.9
Bloomington,Indiana,39.1637,-86.5257,107262,1308.5
Sandy Springs,Georgia,33.9366,-84.3703,107198,1097.6
El Monte,California,34.0739,-118.0291,107066,4325.4
Hillsboro,Oregon,45.5273,-122.936,107050,1563.1
Menifee,California,33.6909,-117.1849,107020,889.3
Rio Rancho,New Mexico,35.2873,-106.6982,106533,397.9
Davie,Florida,26.0789,-80.287,106412,1177.4
Jurupa Valley,California,34.001,-117.4706,106244,955.3
Columbia,Maryland,39.2004,-76.859,105871,1280.1
Inglewood,California,33.9566,-118.3444,105575,4495.6
Spokane Valley,Washington,47.6626,-117.2346,105460,1079.5
Renton,Washington,47.4784,-122.1918,105279,1726.7
San Tan Valley,Arizona,33.1786,-111.5629,105231,536.1
Burbank,California,34.1879,-118.3235,105165,2344.9
Brockton,Massachusetts,42.0821,-71.0242,105080,1901.8
El Cajon,California,32.8017,-116.9604,104909,2791.6
Rialto,California,34.1175,-117.3892,103866,1664.6
San Mateo,California,37.5522,-122.3121,103555,3295.1
Goodyear,Arizona,33.2614,-112.3622,102891,207.7
Charlottesville,Virginia,38.0375,-78.4855,102802,1728.4
Lafayette,Colorado,39.9946,-105.0998,102615,1271.2
Lee's Summit,Missouri,38.9171,-94.3816,102583,619.9
Edinburg,Texas,26.3196,-98.1597,102561,849.9
Daly City,California,37.6862,-122.4685,102560,5176.6
Wichita Falls,Texas,33.9072,-98.5291,102558,548.5
Bowling Green,Kentucky,36.9716,-86.4378,102247,677.1
Longmont,Colorado,40.1686,-105.1005,102183,1305.7
Vacaville,California,38.3587,-121.9673,102085,1319.6
Highlands Ranch,Colorado,39.5419,-104.9708,101437,1613.8
Quincy,Massachusetts,42.2506,-71.0187,101361,2361.4
Fishers,Indiana,39.9588,-85.9659,100918,1076.9
Lynn,Massachusetts,42.4781,-70.9664,100905,3627.9
Norwalk,California,33.9069,-118.0829,100713,4005.8
Carmel,Indiana,39.965,-86.146,100501,790.5
Hesperia,California,34.3975,-117.3147,100141,532
St. Augustine,Florida,29.8976,-81.31,99936,607.4
Buckeye,Arizona,33.4314,-112.6429,99844,97.5
San Angelo,Texas,31.4424,-100.4504,99507,639.7
Federal Way,Washington,47.3091,-122.3358,99232,1717
Bismarck,North Dakota,46.8143,-100.7694,99060,825.4
Boca Raton,Florida,26.3752,-80.108,98833,1307.8
New Braunfels,Texas,29.6994,-98.1148,98700,846.4
Vista,California,33.1896,-117.2386,98646,2007.7
Beaverton,Oregon,45.4779,-122.8168,97502,1907.5
Portsmouth,Virginia,36.8468,-76.354,97299,1128.1
Orem,Utah,40.2981,-111.6994,97048,2012.7
Conroe,Texas,30.3238,-95.4824,96976,493.6
Suffolk,Virginia,36.6953,-76.6398,96638,93.5
Sunrise,Florida,26.1547,-80.2997,96633,2303.3
Lawrence,Kansas,38.9597,-95.2642,96380,1064.6
Arden-Arcade,California,38.6017,-121.3845,96319,2339.6
Prescott Valley,Arizona,34.598,-112.3185,96190,458.7
Middletown,Ohio,39.5033,-84.3659,95894,746.3
San Germán,Puerto Rico,18.0827,-67.046,95622,1467.1
Edmond,Oklahoma,35.6689,-97.416,95618,437.4
Tracy,California,37.7269,-121.4523,95358,1397.9
Manteca,California,37.7927,-121.2264,95347,1534.8
Kingsport,Tennessee,36.5224,-82.5454,95059,405.9
Portsmouth,New Hampshire,43.058,-70.7826,94815,550.6
Sandy,Utah,40.5709,-111.8506,94723,1507.7
Palm Coast,Florida,29.5389,-81.2457,94362,378.4
Slidell,Louisiana,30.2887,-89.7828,94220,727.4
San Marcos,California,33.135,-117.1743,94078,1478.4
Livonia,Michigan,42.3972,-83.3733,94058,1017.4
Santa Fe,New Mexico,35.6619,-105.9819,94032,652.1
Plantation,Florida,26.1259,-80.2617,94002,1668.6
Atascocita,Texas,29.9777,-95.1953,93926,1518.5
Fall River,Massachusetts,41.7136,-71.1015,93764,1093

